OrderID,OrderDate,CustomerID,City,State,ProductID,ProductName,Category,UnitPrice,Quantity,LineSubtotal,DiscountRate,DiscountAmount,TaxAmount,ShippingMethod,ShippingCost,OrderTotal,PaymentMethod,ShippingDate,DeliveryDate,Returned,RefundAmount
ORD20000,30/04/2024 00:00,CUST1068,Kaduna,Kaduna State,P2002,Vacuum Cleaner,Home & Kitchen,200,1,200,0.05,10,14.25,Expedited,10,214.25,Bank Transfer,30/04/2024 00:00,04/05/2024 00:00,No,0
ORD20001,06/04/2024 00:00,CUST1241,Minna,Niger State,P2001,Cookware Set,Home & Kitchen,130,1,130,0,0,9.75,Expedited,10,149.75,Credit Card,06/04/2024 00:00,11/04/2024 00:00,No,0
ORD20002,03/01/2024 00:00,CUST1199,Minna,Niger State,P6001,Football,Sports,30,1,30,0,0,2.25,Two-Day,15,47.25,Bank Transfer,03/01/2024 00:00,08/01/2024 00:00,No,0
ORD20003,14/04/2024 00:00,CUST1136,Abuja,Fct,P6001,Football,Sports,30,2,60,0,0,4.5,Expedited,15,79.5,Credit Card,14/04/2024 00:00,19/04/2024 00:00,No,0
ORD20004,10/01/2024 00:00,CUST1011,Kano,Kano State,P5001,Bestseller Novel,Books,12,1,12,0,0,0.9,Expedited,5,17.9,Paypal,10/01/2024 00:00,12/01/2024 00:00,No,0
ORD20005,15/08/2024 00:00,CUST1216,Kano,Kano State,P5001,Bestseller Novel,Books,12,1,12,0,0,0.9,Expedited,10,22.9,Bank Transfer,15/08/2024 00:00,16/08/2024 00:00,No,0
ORD20006,24/08/2024 00:00,CUST1283,Abuja,Fct,P3001,Men Denim Jeans,Clothing,45,1,45,0,0,3.38,Two-Day,15,63.38,Paypal,24/08/2024 00:00,26/08/2024 00:00,No,0
ORD20007,02/03/2025 00:00,CUST1235,Jos,Plateau State,P1001,Smartphone X1,Electronics,300,1,300,0,0,22.5,Two-Day,10,332.5,Credit Card,02/03/2025 00:00,04/03/2025 00:00,No,0
ORD20008,06/12/2024 00:00,CUST1095,Jos,Plateau State,P1002,Laptop Pro 15,Electronics,1200,1,1200,0,0,90,Two-Day,15,1305,Bank Transfer,06/12/2024 00:00,11/12/2024 00:00,No,0
ORD20009,17/10/2024 00:00,CUST1259,Abuja,Fct,P2002,Vacuum Cleaner,Home & Kitchen,200,1,200,0,0,15,Two-Day,5,220,Bank Transfer,17/10/2024 00:00,22/10/2024 00:00,No,0
ORD20010,05/02/2024 00:00,CUST1258,Minna,Niger State,P6001,Football,Sports,30,1,30,0,0,2.25,Expedited,10,42.25,Paypal,05/02/2024 00:00,06/02/2024 00:00,No,0
ORD20011,10/01/2025 00:00,CUST1206,Minna,Niger State,P1003,Wireless Headphones,Electronics,90,1,90,0.1,9,6.08,Two-Day,10,97.08,Cash On Delivery,10/01/2025 00:00,15/01/2025 00:00,No,0
ORD20012,20/04/2024 00:00,CUST1044,Sokoto,Sokoto State,P5001,Bestseller Novel,Books,12,1,12,0.1,1.2,0.81,Standard,5,16.61,Bank Transfer,20/04/2024 00:00,23/04/2024 00:00,No,0
ORD20013,25/04/2025 00:00,CUST1189,Sokoto,Sokoto State,P1001,Smartphone X1,Electronics,300,1,300,0,0,22.5,Standard,5,327.5,Cash On Delivery,25/04/2025 00:00,28/04/2025 00:00,No,0
ORD20014,21/06/2024 00:00,CUST1296,Minna,Niger State,P1003,Wireless Headphones,Electronics,90,1,90,0,0,6.75,Two-Day,10,106.75,Paypal,21/06/2024 00:00,23/06/2024 00:00,No,0
ORD20015,15/07/2025 00:00,CUST1006,Abuja,Fct,P5001,Bestseller Novel,Books,12,1,12,0.05,0.6,0.86,Standard,15,27.26,Bank Transfer,15/07/2025 00:00,20/07/2025 00:00,No,0
ORD20016,27/12/2024 00:00,CUST1263,Zaria,Kaduna State,P6001,Football,Sports,30,2,60,0,0,4.5,Expedited,10,74.5,Cash On Delivery,27/12/2024 00:00,28/12/2024 00:00,No,0
ORD20017,08/06/2025 00:00,CUST1280,Kano,Kano State,P3002,Women T‑Shirt,Clothing,20,2,40,0,0,3,Standard,10,53,Paypal,08/06/2025 00:00,13/06/2025 00:00,No,0
ORD20018,08/01/2025 00:00,CUST1218,Kano,Kano State,P4001,Body Lotion,Health & Beauty,15,1,15,0,0,1.12,Two-Day,15,31.12,Paypal,08/01/2025 00:00,13/01/2025 00:00,No,0
ORD20019,31/12/2024 00:00,CUST1258,Minna,Niger State,P4001,Body Lotion,Health & Beauty,15,2,30,0,0,2.25,Expedited,5,37.25,Cash On Delivery,31/12/2024 00:00,01/01/2025 00:00,No,0
ORD20020,06/09/2025 00:00,CUST1000,Zaria,Kaduna State,P4001,Body Lotion,Health & Beauty,15,1,15,0.15,2.25,0.96,Standard,15,28.71,Paypal,06/09/2025 00:00,10/09/2025 00:00,No,0
ORD20021,18/07/2025 00:00,CUST1090,Lagos,Lagos State,P1002,Laptop Pro 15,Electronics,1200,1,1200,0.1,120,81,Expedited,15,1176,Credit Card,18/07/2025 00:00,19/07/2025 00:00,No,0
ORD20022,08/04/2025 00:00,CUST1036,Kaduna,Kaduna State,P1001,Smartphone X1,Electronics,300,1,300,0.05,15,21.38,Standard,5,311.38,Cash On Delivery,08/04/2025 00:00,10/04/2025 00:00,No,0
ORD20023,01/10/2025 00:00,CUST1127,Jos,Plateau State,P1002,Laptop Pro 15,Electronics,1200,1,1200,0,0,90,Standard,10,1300,Cash On Delivery,01/10/2025 00:00,03/10/2025 00:00,No,0
ORD20024,12/06/2024 00:00,CUST1148,Kaduna,Kaduna State,P1003,Wireless Headphones,Electronics,90,2,180,0,0,13.5,Expedited,10,203.5,Paypal,12/06/2024 00:00,13/06/2024 00:00,No,0
ORD20025,20/12/2025 00:00,CUST1139,Jos,Plateau State,P4001,Body Lotion,Health & Beauty,15,4,60,0,0,4.5,Expedited,10,74.5,Bank Transfer,20/12/2025 00:00,22/12/2025 00:00,No,0
ORD20026,15/11/2024 00:00,CUST1242,Kaduna,Kaduna State,P1001,Smartphone X1,Electronics,300,1,300,0,0,22.5,Expedited,10,332.5,Cash On Delivery,15/11/2024 00:00,16/11/2024 00:00,No,0
ORD20027,21/04/2024 00:00,CUST1215,Abuja,Fct,P2002,Vacuum Cleaner,Home & Kitchen,200,3,600,0.05,30,42.75,Expedited,10,622.75,Paypal,21/04/2024 00:00,26/04/2024 00:00,Yes,622.75
ORD20028,19/01/2024 00:00,CUST1221,Kano,Kano State,P2001,Cookware Set,Home & Kitchen,130,1,130,0,0,9.75,Expedited,10,149.75,Paypal,19/01/2024 00:00,21/01/2024 00:00,No,0
ORD20029,22/12/2025 00:00,CUST1018,Lagos,Lagos State,P4001,Body Lotion,Health & Beauty,15,1,15,0.05,0.75,1.07,Two-Day,5,20.32,Bank Transfer,22/12/2025 00:00,27/12/2025 00:00,No,0
ORD20030,06/04/2025 00:00,CUST1278,Abuja,Fct,P5001,Bestseller Novel,Books,12,1,12,0.15,1.8,0.76,Standard,15,25.96,Credit Card,06/04/2025 00:00,07/04/2025 00:00,Yes,25.96
ORD20031,01/03/2024 00:00,CUST1202,Zaria,Kaduna State,P3002,Women T‑Shirt,Clothing,20,2,40,0,0,3,Two-Day,10,53,Cash On Delivery,01/03/2024 00:00,04/03/2024 00:00,No,0
ORD20032,09/11/2024 00:00,CUST1064,Abuja,Fct,P1001,Smartphone X1,Electronics,300,2,600,0.05,30,42.75,Standard,5,617.75,Credit Card,09/11/2024 00:00,12/11/2024 00:00,No,0
ORD20033,02/03/2025 00:00,CUST1158,Jos,Plateau State,P1003,Wireless Headphones,Electronics,90,1,90,0.1,9,6.08,Two-Day,5,92.08,Cash On Delivery,02/03/2025 00:00,03/03/2025 00:00,No,0
ORD20034,08/02/2024 00:00,CUST1066,Kano,Kano State,P5001,Bestseller Novel,Books,12,2,24,0,0,1.8,Two-Day,5,30.8,Paypal,08/02/2024 00:00,12/02/2024 00:00,No,0
